Tiempo,Cantidad
2019-03-18,6
2019-03-19,6
2019-03-20,6
2019-03-21,10
2019-03-22,3
2019-03-23,5
2019-03-24,3
2019-03-25,8
2019-03-26,6
2019-03-27,4
2019-03-28,4
2019-03-29,2
2019-03-30,8
2019-04-01,6
2019-04-02,6
2019-04-03,4
2019-04-04,3
2019-04-05,4
2019-04-06,6
2019-04-07,1
2019-04-08,6
2019-04-09,3
2019-04-10,2
2019-04-11,8
2019-04-12,11
2019-04-13,4
2019-04-14,4
2019-04-15,7
2019-04-17,4
2019-04-19,2
2019-04-20,1
2019-04-21,3
2019-04-22,5
2019-04-23,8
2019-04-24,8
2019-04-25,6
2019-04-26,5
2019-04-27,10
2019-04-28,5
2019-04-29,6
2019-04-30,5
2019-05-01,4
2019-05-02,6
2019-05-03,11
2019-05-04,4
2019-05-05,6
2019-05-06,2
2019-05-07,3
2019-05-08,1
2019-05-09,9
2019-05-10,8
2019-05-11,3
2019-05-12,2
2019-05-13,5
2019-05-14,3
2019-05-15,3
2019-05-16,5
2019-05-17,3
2019-05-18,4
2019-05-19,9
2019-05-20,2
2019-05-21,10
2019-05-22,6
2019-05-23,3
2019-05-24,5
2019-05-25,4
2019-05-26,2
2019-05-27,2
2019-05-28,3
2019-05-29,3
2019-05-30,7
2019-05-31,9
2019-06-01,2
2019-06-02,3
2019-06-03,3
2019-06-04,2
2019-06-05,5
2019-06-06,4
2019-06-07,3
2019-06-08,7
2019-06-09,2
2019-06-10,6
2019-06-11,5
2019-06-12,6
2019-06-13,4
2019-06-14,12
2019-06-15,12
2019-06-16,4
2019-06-17,8
2019-06-18,3
2019-06-19,5
2019-06-20,6
2019-06-21,4
2019-06-22,2
2019-06-23,4
2019-06-24,4
2019-06-25,5
2019-06-26,3
2019-06-27,4
2019-06-28,5
2019-06-29,6
2019-06-30,2
2019-07-01,11
2019-07-02,7
2019-07-03,4
2019-07-04,4
2019-07-05,4
2019-07-06,4
2019-07-07,1
2019-07-08,6
2019-07-09,9
2019-07-10,4
2019-07-11,4
2019-07-12,8
2019-07-13,1
2019-07-14,3
2019-07-15,3
2019-07-16,6
2019-07-17,2
2019-07-18,3
2019-07-19,4
2019-07-20,2
2019-07-22,4
2019-07-23,2
2019-07-24,5
2019-07-25,3
2019-07-26,7
2019-07-27,7
2019-07-28,2
2019-07-29,2
2019-07-30,6
2019-07-31,5
2019-08-01,6
2019-08-02,8
2019-08-03,3
2019-08-04,4
2019-08-05,5
2019-08-06,5
2019-08-07,3
2019-08-08,5
2019-08-09,7
2019-08-10,11
2019-08-11,7
2019-08-12,3
2019-08-13,2
2019-08-14,5
2019-08-15,12
2019-08-16,10
2019-08-17,2
2019-08-18,4
2019-08-20,5
2019-08-21,4
2019-08-22,7
2019-08-23,4
2019-08-24,4
2019-08-25,3
2019-08-26,4
2019-08-27,8
2019-08-28,3
2019-08-29,5
2019-08-30,13
2019-08-31,9
2019-09-01,3
2019-09-02,5
2019-09-03,2
2019-09-04,3
2019-09-05,5
2019-09-06,5
2019-09-07,10
2019-09-08,1
2019-09-09,3
2019-09-10,6
2019-09-11,7
2019-09-12,7
2019-09-13,9
2019-09-14,3
2019-09-15,9
2019-09-16,2
2019-09-17,7
2019-09-18,7
2019-09-19,1
2019-09-20,5
2019-09-21,7
2019-09-22,1
2019-09-23,6
2019-09-24,8
2019-09-25,4
2019-09-26,8
2019-09-27,8
2019-09-28,7
2019-09-29,5
2019-09-30,3
2019-10-01,5
2019-10-02,6
2019-10-03,7
2019-10-04,10
2019-10-05,8
2019-10-06,9
2019-10-07,3
2019-10-08,9
2019-10-09,12
2019-10-10,5
2019-10-11,6
2019-10-12,5
2019-10-13,4
2019-10-14,2
2019-10-15,2
2019-10-16,10
2019-10-17,9
2019-10-18,8
2019-10-19,9
2019-10-20,1
2019-10-21,1
2019-10-22,7
2019-10-23,6
2019-10-24,3
2019-10-25,6
2019-10-26,5
2019-10-27,4
2019-10-28,12
2019-10-29,8
2019-10-30,7
2019-10-31,9
2019-11-01,2
2019-11-02,3
2019-11-03,3
2019-11-04,3
2019-11-05,6
2019-11-06,3
2019-11-07,3
2019-11-08,7
2019-11-09,4
2019-11-10,4
2019-11-11,2
2019-11-12,3
2019-11-13,4
2019-11-14,4
2019-11-15,7
2019-11-16,9
2019-11-17,4
2019-11-18,5
2019-11-19,5
2019-11-20,7
2019-11-21,8
2019-11-22,10
2019-11-23,4
2019-11-24,4
2019-11-25,5
2019-11-26,3
2019-11-27,3
2019-11-28,4
2019-11-29,4
2019-11-30,6
2019-12-01,2
2019-12-02,2
2019-12-03,9
2019-12-04,9
2019-12-05,7
2019-12-06,10
2019-12-07,6
2019-12-08,5
2019-12-09,5
2019-12-10,7
2019-12-11,7
2019-12-12,3
2019-12-13,5
2019-12-14,3
2019-12-15,1
2019-12-16,7
2019-12-17,6
2019-12-18,2
2019-12-19,1
2019-12-20,3
2019-12-21,11
2019-12-22,6
2019-12-23,5
2019-12-24,6
2019-12-25,2
2019-12-26,2
2019-12-27,6
2019-12-28,8
2019-12-29,2
2019-12-30,5
2019-12-31,7
2020-01-01,2
2020-01-02,3
2020-01-03,11
2020-01-04,8
2020-01-05,2
2020-01-06,3
2020-01-07,8
2020-01-08,3
2020-01-09,6
2020-01-10,6
2020-01-11,3
2020-01-12,7
2020-01-13,2
2020-01-14,1
2020-01-15,7
2020-01-16,4
2020-01-17,6
2020-01-18,8
2020-01-19,2
2020-01-20,6
2020-01-21,6
2020-01-22,7
2020-01-23,6
2020-01-24,2
2020-01-25,3
2020-01-26,4
2020-01-27,4
2020-01-29,2
2020-01-30,4
2020-01-31,4
2020-02-01,6
2020-02-02,6
2020-02-03,3
2020-02-04,2
2020-02-05,9
2020-02-06,1
2020-02-07,8
2020-02-08,4
2020-02-09,1
2020-02-10,4
2020-02-11,4
2020-02-12,5
2020-02-13,8
2020-02-14,4
2020-02-15,6
2020-02-16,4
2020-02-17,4
2020-02-18,6
2020-02-19,4
2020-02-20,3
2020-02-21,2
2020-02-23,2
2020-02-24,3
2020-02-25,7
2020-02-26,3
2020-02-27,1
2020-02-28,5
2020-02-29,3
2020-03-01,3
